r_A,g_r
5.453471541404723670e-03,0.000000000000000000e+00
1.636041462421417014e-02,0.000000000000000000e+00
2.726735770702361922e-02,0.000000000000000000e+00
3.817430078983306829e-02,0.000000000000000000e+00
4.908124387264251737e-02,0.000000000000000000e+00
5.998818695545195256e-02,0.000000000000000000e+00
7.089513003826140858e-02,0.000000000000000000e+00
8.180207312107085071e-02,0.000000000000000000e+00
9.270901620388030673e-02,0.000000000000000000e+00
1.036159592866897627e-01,0.000000000000000000e+00
1.145229023694991910e-01,0.000000000000000000e+00
1.254298454523086470e-01,0.000000000000000000e+00
1.363367885351181030e-01,0.000000000000000000e+00
1.472437316179275590e-01,0.000000000000000000e+00
1.581506747007369595e-01,0.000000000000000000e+00
1.690576177835464433e-01,0.000000000000000000e+00
1.799645608663558716e-01,0.000000000000000000e+00
1.908715039491653553e-01,0.000000000000000000e+00
2.017784470319747836e-01,0.000000000000000000e+00
2.126853901147842119e-01,0.000000000000000000e+00
2.235923331975936679e-01,0.000000000000000000e+00
2.344992762804030961e-01,0.000000000000000000e+00
2.454062193632125521e-01,0.000000000000000000e+00
2.563131624460219804e-01,0.000000000000000000e+00
2.672201055288314642e-01,0.000000000000000000e+00
2.781270486116409479e-01,0.000000000000000000e+00
2.890339916944503762e-01,0.000000000000000000e+00
2.999409347772598045e-01,0.000000000000000000e+00
3.108478778600692327e-01,0.000000000000000000e+00
3.217548209428786610e-01,0.000000000000000000e+00
3.326617640256881447e-01,0.000000000000000000e+00
3.435687071084975730e-01,0.000000000000000000e+00
3.544756501913070568e-01,0.000000000000000000e+00
3.653825932741164850e-01,0.000000000000000000e+00
3.762895363569259688e-01,0.000000000000000000e+00
3.871964794397353971e-01,0.000000000000000000e+00
3.981034225225448253e-01,0.000000000000000000e+00
4.090103656053542536e-01,0.000000000000000000e+00
4.199173086881636818e-01,0.000000000000000000e+00
4.308242517709731656e-01,0.000000000000000000e+00
4.417311948537826494e-01,0.000000000000000000e+00
4.526381379365920776e-01,0.000000000000000000e+00
4.635450810194015059e-01,0.000000000000000000e+00
4.744520241022109897e-01,0.000000000000000000e+00
4.853589671850203624e-01,0.000000000000000000e+00
4.962659102678298462e-01,0.000000000000000000e+00
5.071728533506393299e-01,0.000000000000000000e+00
5.180797964334487027e-01,0.000000000000000000e+00
5.289867395162581865e-01,0.000000000000000000e+00
5.398936825990676702e-01,0.000000000000000000e+00
5.508006256818771540e-01,0.000000000000000000e+00
5.617075687646865267e-01,0.000000000000000000e+00
5.726145118474958995e-01,0.000000000000000000e+00
5.835214549303053833e-01,0.000000000000000000e+00
5.944283980131148670e-01,0.000000000000000000e+00
6.053353410959243508e-01,0.000000000000000000e+00
6.162422841787338346e-01,0.000000000000000000e+00
6.271492272615432073e-01,0.000000000000000000e+00
6.380561703443526911e-01,0.000000000000000000e+00
6.489631134271620638e-01,0.000000000000000000e+00
6.598700565099715476e-01,0.000000000000000000e+00
6.707769995927809203e-01,0.000000000000000000e+00
6.816839426755905151e-01,0.000000000000000000e+00
6.925908857583997769e-01,0.000000000000000000e+00
7.034978288412094827e-01,0.000000000000000000e+00
7.144047719240187444e-01,0.000000000000000000e+00
7.253117150068283392e-01,0.000000000000000000e+00
7.362186580896377119e-01,0.000000000000000000e+00
7.471256011724471957e-01,0.000000000000000000e+00
7.580325442552565685e-01,0.000000000000000000e+00
7.689394873380661632e-01,0.000000000000000000e+00
7.798464304208754250e-01,0.000000000000000000e+00
7.907533735036849087e-01,0.000000000000000000e+00
8.016603165864943925e-01,0.000000000000000000e+00
8.125672596693036542e-01,0.000000000000000000e+00
8.234742027521133600e-01,0.000000000000000000e+00
8.343811458349226218e-01,0.000000000000000000e+00
8.452880889177322166e-01,0.000000000000000000e+00
8.561950320005415893e-01,0.000000000000000000e+00
8.671019750833510731e-01,0.000000000000000000e+00
8.780089181661604458e-01,0.000000000000000000e+00
8.889158612489700406e-01,0.000000000000000000e+00
8.998228043317793023e-01,0.000000000000000000e+00
9.107297474145890082e-01,0.000000000000000000e+00
9.216366904973982699e-01,0.000000000000000000e+00
9.325436335802078647e-01,0.000000000000000000e+00
9.434505766630172374e-01,0.000000000000000000e+00
9.543575197458266102e-01,0.000000000000000000e+00
9.652644628286360939e-01,0.000000000000000000e+00
9.761714059114454667e-01,0.000000000000000000e+00
9.870783489942549505e-01,0.000000000000000000e+00
9.979852920770643232e-01,0.000000000000000000e+00
1.008892235159873918e+00,0.000000000000000000e+00
1.019799178242683180e+00,0.000000000000000000e+00
1.030706121325492886e+00,0.000000000000000000e+00
1.041613064408302147e+00,0.000000000000000000e+00
1.052520007491111631e+00,0.000000000000000000e+00
1.063426950573921115e+00,0.000000000000000000e+00
1.074333893656730599e+00,0.000000000000000000e+00
1.085240836739540082e+00,0.000000000000000000e+00
1.096147779822349566e+00,0.000000000000000000e+00
1.107054722905158828e+00,0.000000000000000000e+00
1.117961665987968534e+00,0.000000000000000000e+00
1.128868609070777795e+00,0.000000000000000000e+00
1.139775552153587279e+00,0.000000000000000000e+00
1.150682495236396763e+00,0.000000000000000000e+00
1.161589438319206025e+00,0.000000000000000000e+00
1.172496381402015508e+00,0.000000000000000000e+00
1.183403324484824992e+00,0.000000000000000000e+00
1.194310267567634476e+00,0.000000000000000000e+00
1.205217210650443960e+00,0.000000000000000000e+00
1.216124153733253443e+00,0.000000000000000000e+00
1.227031096816062705e+00,0.000000000000000000e+00
1.237938039898872411e+00,0.000000000000000000e+00
1.248844982981681673e+00,0.000000000000000000e+00
1.259751926064491379e+00,0.000000000000000000e+00
1.270658869147300640e+00,0.000000000000000000e+00
1.281565812230109902e+00,0.000000000000000000e+00
1.292472755312919386e+00,0.000000000000000000e+00
1.303379698395729092e+00,0.000000000000000000e+00
1.314286641478538353e+00,0.000000000000000000e+00
1.325193584561347837e+00,0.000000000000000000e+00
1.336100527644157321e+00,0.000000000000000000e+00
1.347007470726966805e+00,0.000000000000000000e+00
1.357914413809776288e+00,0.000000000000000000e+00
1.368821356892585550e+00,0.000000000000000000e+00
1.379728299975395256e+00,0.000000000000000000e+00
1.390635243058204740e+00,0.000000000000000000e+00
1.401542186141013779e+00,0.000000000000000000e+00
1.412449129223823263e+00,0.000000000000000000e+00
1.423356072306632969e+00,0.000000000000000000e+00
1.434263015389442231e+00,0.000000000000000000e+00
1.445169958472251714e+00,0.000000000000000000e+00
1.456076901555061198e+00,0.000000000000000000e+00
1.466983844637870682e+00,0.000000000000000000e+00
1.477890787720680166e+00,0.000000000000000000e+00
1.488797730803489427e+00,0.000000000000000000e+00
1.499704673886299133e+00,0.000000000000000000e+00
1.510611616969108617e+00,0.000000000000000000e+00
