r_A,g_r
4.127999842166900704e-03,0.000000000000000000e+00
1.238399952650070211e-02,0.000000000000000000e+00
2.063999921083450179e-02,0.000000000000000000e+00
2.889599889516830666e-02,0.000000000000000000e+00
3.715199857950210460e-02,0.000000000000000000e+00
4.540799826383590948e-02,0.000000000000000000e+00
5.366399794816970742e-02,0.000000000000000000e+00
6.191999763250351230e-02,0.000000000000000000e+00
7.017599731683731024e-02,0.000000000000000000e+00
7.843199700117112205e-02,0.000000000000000000e+00
8.668799668550490611e-02,0.000000000000000000e+00
9.494399636983871793e-02,0.000000000000000000e+00
1.031999960541725159e-01,0.000000000000000000e+00
1.114559957385063277e-01,0.000000000000000000e+00
1.197119954228401117e-01,0.000000000000000000e+00
1.279679951071739374e-01,0.000000000000000000e+00
1.362239947915077076e-01,0.000000000000000000e+00
1.444799944758415333e-01,0.000000000000000000e+00
1.527359941601753313e-01,0.000000000000000000e+00
1.609919938445091292e-01,0.000000000000000000e+00
1.692479935288429271e-01,0.000000000000000000e+00
1.775039932131767251e-01,0.000000000000000000e+00
1.857599928975105230e-01,0.000000000000000000e+00
1.940159925818443487e-01,0.000000000000000000e+00
2.022719922661781189e-01,0.000000000000000000e+00
2.105279919505119446e-01,0.000000000000000000e+00
2.187839916348457425e-01,0.000000000000000000e+00
2.270399913191795405e-01,0.000000000000000000e+00
2.352959910035133384e-01,0.000000000000000000e+00
2.435519906878471641e-01,0.000000000000000000e+00
2.518079903721809343e-01,0.000000000000000000e+00
2.600639900565147600e-01,0.000000000000000000e+00
2.683199897408485302e-01,0.000000000000000000e+00
2.765759894251823559e-01,0.000000000000000000e+00
2.848319891095161260e-01,0.000000000000000000e+00
2.930879887938499517e-01,0.000000000000000000e+00
3.013439884781837219e-01,0.000000000000000000e+00
3.095999881625175476e-01,0.000000000000000000e+00
3.178559878468513178e-01,0.000000000000000000e+00
3.261119875311851990e-01,0.000000000000000000e+00
3.343679872155189137e-01,0.000000000000000000e+00
3.426239868998527394e-01,0.000000000000000000e+00
3.508799865841865651e-01,0.000000000000000000e+00
3.591359862685203352e-01,0.000000000000000000e+00
3.673919859528541609e-01,0.000000000000000000e+00
3.756479856371879866e-01,0.000000000000000000e+00
3.839039853215217568e-01,0.000000000000000000e+00
3.921599850058555825e-01,0.000000000000000000e+00
4.004159846901893527e-01,0.000000000000000000e+00
4.086719843745231784e-01,0.000000000000000000e+00
4.169279840588569486e-01,0.000000000000000000e+00
4.251839837431907743e-01,0.000000000000000000e+00
4.334399834275246000e-01,0.000000000000000000e+00
4.416959831118583701e-01,0.000000000000000000e+00
4.499519827961921958e-01,0.000000000000000000e+00
4.582079824805260215e-01,0.000000000000000000e+00
4.664639821648597362e-01,0.000000000000000000e+00
4.747199818491936174e-01,0.000000000000000000e+00
4.829759815335273876e-01,0.000000000000000000e+00
4.912319812178611578e-01,0.000000000000000000e+00
4.994879809021950390e-01,0.000000000000000000e+00
5.077439805865288092e-01,0.000000000000000000e+00
5.159999802708625793e-01,0.000000000000000000e+00
5.242559799551964606e-01,0.000000000000000000e+00
5.325119796395301197e-01,0.000000000000000000e+00
5.407679793238640009e-01,0.000000000000000000e+00
5.490239790081977711e-01,0.000000000000000000e+00
5.572799786925315413e-01,0.000000000000000000e+00
5.655359783768654225e-01,0.000000000000000000e+00
5.737919780611991927e-01,0.000000000000000000e+00
5.820479777455329629e-01,0.000000000000000000e+00
5.903039774298668441e-01,0.000000000000000000e+00
5.985599771142005032e-01,0.000000000000000000e+00
6.068159767985343844e-01,0.000000000000000000e+00
6.150719764828681546e-01,0.000000000000000000e+00
6.233279761672020358e-01,0.000000000000000000e+00
6.315839758515358060e-01,0.000000000000000000e+00
6.398399755358696872e-01,0.000000000000000000e+00
6.480959752202033464e-01,0.000000000000000000e+00
6.563519749045371166e-01,0.000000000000000000e+00
6.646079745888711088e-01,0.000000000000000000e+00
6.728639742732047679e-01,0.000000000000000000e+00
6.811199739575385381e-01,0.000000000000000000e+00
6.893759736418724193e-01,0.000000000000000000e+00
6.976319733262061895e-01,0.000000000000000000e+00
7.058879730105399597e-01,0.000000000000000000e+00
7.141439726948738409e-01,0.000000000000000000e+00
7.223999723792076111e-01,0.000000000000000000e+00
7.306559720635413813e-01,0.000000000000000000e+00
7.389119717478752625e-01,0.000000000000000000e+00
7.471679714322090327e-01,0.000000000000000000e+00
7.554239711165428028e-01,0.000000000000000000e+00
7.636799708008766840e-01,0.000000000000000000e+00
7.719359704852104542e-01,0.000000000000000000e+00
7.801919701695442244e-01,0.000000000000000000e+00
7.884479698538779946e-01,0.000000000000000000e+00
7.967039695382118758e-01,0.000000000000000000e+00
