r_A,g_r
3.003700077533722271e-03,0.000000000000000000e+00
9.011100232601165078e-03,0.000000000000000000e+00
1.501850038766861135e-02,0.000000000000000000e+00
2.102590054273605069e-02,0.000000000000000000e+00
2.703330069780350217e-02,0.000000000000000000e+00
3.304070085287094671e-02,0.000000000000000000e+00
3.904810100793838779e-02,0.000000000000000000e+00
4.505550116300583580e-02,0.000000000000000000e+00
5.106290131807327687e-02,0.000000000000000000e+00
5.707030147314072488e-02,0.000000000000000000e+00
6.307770162820816595e-02,0.000000000000000000e+00
6.908510178327560702e-02,0.000000000000000000e+00
7.509250193834304810e-02,0.000000000000000000e+00
8.109990209341050305e-02,0.000000000000000000e+00
8.710730224847794412e-02,0.000000000000000000e+00
9.311470240354538519e-02,0.000000000000000000e+00
9.912210255861282626e-02,0.000000000000000000e+00
1.051295027136802673e-01,0.000000000000000000e+00
1.111369028687477223e-01,0.000000000000000000e+00
1.171443030238151772e-01,0.000000000000000000e+00
1.231517031788826044e-01,0.000000000000000000e+00
1.291591033339500594e-01,0.000000000000000000e+00
1.351665034890174866e-01,0.000000000000000000e+00
1.411739036440849415e-01,0.000000000000000000e+00
1.471813037991523687e-01,0.000000000000000000e+00
1.531887039542198237e-01,0.000000000000000000e+00
1.591961041092873064e-01,0.000000000000000000e+00
1.652035042643547336e-01,0.000000000000000000e+00
1.712109044194221608e-01,0.000000000000000000e+00
1.772183045744896157e-01,0.000000000000000000e+00
1.832257047295570707e-01,0.000000000000000000e+00
1.892331048846244979e-01,0.000000000000000000e+00
1.952405050396919250e-01,0.000000000000000000e+00
2.012479051947593800e-01,0.000000000000000000e+00
2.072553053498268349e-01,0.000000000000000000e+00
2.132627055048942621e-01,0.000000000000000000e+00
2.192701056599616893e-01,0.000000000000000000e+00
2.252775058150291443e-01,0.000000000000000000e+00
2.312849059700966270e-01,0.000000000000000000e+00
2.372923061251640542e-01,0.000000000000000000e+00
2.432997062802315091e-01,0.000000000000000000e+00
2.493071064352989363e-01,0.000000000000000000e+00
2.553145065903663635e-01,0.000000000000000000e+00
2.613219067454338185e-01,0.000000000000000000e+00
2.673293069005012734e-01,0.000000000000000000e+00
2.733367070555687284e-01,0.000000000000000000e+00
2.793441072106361278e-01,0.000000000000000000e+00
2.853515073657035828e-01,0.000000000000000000e+00
2.913589075207710932e-01,0.000000000000000000e+00
2.973663076758384927e-01,0.000000000000000000e+00
3.033737078309059476e-01,0.000000000000000000e+00
3.093811079859734026e-01,0.000000000000000000e+00
3.153885081410408020e-01,0.000000000000000000e+00
3.213959082961082570e-01,0.000000000000000000e+00
3.274033084511757119e-01,0.000000000000000000e+00
3.334107086062432224e-01,0.000000000000000000e+00
