r_A,g_r
6.224373579025268763e-03,0.000000000000000000e+00
1.867312073707580455e-02,0.000000000000000000e+00
3.112186789512634555e-02,0.000000000000000000e+00
4.357061505317687267e-02,0.000000000000000000e+00
5.601936221122741366e-02,0.000000000000000000e+00
6.846810936927795466e-02,0.000000000000000000e+00
8.091685652732848177e-02,0.000000000000000000e+00
9.336560368537902277e-02,0.000000000000000000e+00
1.058143508434295638e-01,0.000000000000000000e+00
1.182630980014801048e-01,0.000000000000000000e+00
1.307118451595306596e-01,0.000000000000000000e+00
1.431605923175811590e-01,0.000000000000000000e+00
1.556093394756316861e-01,0.000000000000000000e+00
1.680580866336822410e-01,0.000000000000000000e+00
1.805068337917327681e-01,0.000000000000000000e+00
1.929555809497833230e-01,0.000000000000000000e+00
2.054043281078338501e-01,0.000000000000000000e+00
2.178530752658844050e-01,0.000000000000000000e+00
2.303018224239349321e-01,0.000000000000000000e+00
2.427505695819854870e-01,0.000000000000000000e+00
2.551993167400359863e-01,0.000000000000000000e+00
2.676480638980865412e-01,0.000000000000000000e+00
2.800968110561370406e-01,0.000000000000000000e+00
2.925455582141875954e-01,0.000000000000000000e+00
3.049943053722381503e-01,0.000000000000000000e+00
3.174430525302887052e-01,0.000000000000000000e+00
3.298917996883392600e-01,0.000000000000000000e+00
3.423405468463897039e-01,0.000000000000000000e+00
3.547892940044403143e-01,0.000000000000000000e+00
3.672380411624908136e-01,0.000000000000000000e+00
3.796867883205413685e-01,0.000000000000000000e+00
3.921355354785918679e-01,0.000000000000000000e+00
4.045842826366424783e-01,0.000000000000000000e+00
4.170330297946929221e-01,0.000000000000000000e+00
4.294817769527435880e-01,0.000000000000000000e+00
4.419305241107940319e-01,0.000000000000000000e+00
4.543792712688446422e-01,0.000000000000000000e+00
4.668280184268951416e-01,0.000000000000000000e+00
4.792767655849456965e-01,0.000000000000000000e+00
4.917255127429961958e-01,0.000000000000000000e+00
5.041742599010466952e-01,0.000000000000000000e+00
5.166230070590972501e-01,0.000000000000000000e+00
5.290717542171476939e-01,0.000000000000000000e+00
5.415205013751983598e-01,0.000000000000000000e+00
5.539692485332488037e-01,0.000000000000000000e+00
5.664179956912994696e-01,0.000000000000000000e+00
5.788667428493499134e-01,0.000000000000000000e+00
5.913154900074004683e-01,0.000000000000000000e+00
6.037642371654510232e-01,0.000000000000000000e+00
6.162129843235015780e-01,0.000000000000000000e+00
6.286617314815521329e-01,0.000000000000000000e+00
6.411104786396026878e-01,0.000000000000000000e+00
6.535592257976531316e-01,0.000000000000000000e+00
6.660079729557035755e-01,0.000000000000000000e+00
6.784567201137542414e-01,0.000000000000000000e+00
6.909054672718049073e-01,0.000000000000000000e+00
7.033542144298553511e-01,0.000000000000000000e+00
7.158029615879057950e-01,0.000000000000000000e+00
7.282517087459563498e-01,0.000000000000000000e+00
7.407004559040070157e-01,0.000000000000000000e+00
7.531492030620574596e-01,0.000000000000000000e+00
7.655979502201080145e-01,0.000000000000000000e+00
7.780466973781585693e-01,0.000000000000000000e+00
7.904954445362091242e-01,0.000000000000000000e+00
8.029441916942594570e-01,0.000000000000000000e+00
8.153929388523101229e-01,0.000000000000000000e+00
8.278416860103607888e-01,0.000000000000000000e+00
8.402904331684112327e-01,0.000000000000000000e+00
8.527391803264616765e-01,0.000000000000000000e+00
8.651879274845122314e-01,0.000000000000000000e+00
8.776366746425628973e-01,0.000000000000000000e+00
8.900854218006133411e-01,0.000000000000000000e+00
9.025341689586638960e-01,0.000000000000000000e+00
9.149829161167144509e-01,0.000000000000000000e+00
9.274316632747650058e-01,0.000000000000000000e+00
9.398804104328155606e-01,0.000000000000000000e+00
9.523291575908660045e-01,0.000000000000000000e+00
9.647779047489166704e-01,0.000000000000000000e+00
9.772266519069672253e-01,0.000000000000000000e+00
9.896753990650176691e-01,0.000000000000000000e+00
1.002124146223068113e+00,0.000000000000000000e+00
1.014572893381118668e+00,0.000000000000000000e+00
1.027021640539169223e+00,0.000000000000000000e+00
1.039470387697219778e+00,0.000000000000000000e+00
1.051919134855270332e+00,0.000000000000000000e+00
1.064367882013320887e+00,0.000000000000000000e+00
1.076816629171371442e+00,0.000000000000000000e+00
1.089265376329421997e+00,0.000000000000000000e+00
1.101714123487472552e+00,0.000000000000000000e+00
1.114162870645523107e+00,0.000000000000000000e+00
1.126611617803573662e+00,0.000000000000000000e+00
1.139060364961623995e+00,0.000000000000000000e+00
1.151509112119674771e+00,0.000000000000000000e+00
1.163957859277725326e+00,0.000000000000000000e+00
1.176406606435775659e+00,0.000000000000000000e+00
1.188855353593826214e+00,0.000000000000000000e+00
1.201304100751876769e+00,0.000000000000000000e+00
1.213752847909927324e+00,0.000000000000000000e+00
1.226201595067977657e+00,0.000000000000000000e+00
1.238650342226028434e+00,0.000000000000000000e+00
1.251099089384078988e+00,0.000000000000000000e+00
1.263547836542129321e+00,0.000000000000000000e+00
1.275996583700180320e+00,0.000000000000000000e+00
1.288445330858230431e+00,0.000000000000000000e+00
1.300894078016280986e+00,0.000000000000000000e+00
1.313342825174331763e+00,0.000000000000000000e+00
1.325791572332382096e+00,0.000000000000000000e+00
1.338240319490432650e+00,0.000000000000000000e+00
1.350689066648483205e+00,0.000000000000000000e+00
1.363137813806533760e+00,0.000000000000000000e+00
1.375586560964584537e+00,0.000000000000000000e+00
1.388035308122634870e+00,0.000000000000000000e+00
1.400484055280685203e+00,0.000000000000000000e+00
1.412932802438735980e+00,0.000000000000000000e+00
1.425381549596786535e+00,0.000000000000000000e+00
1.437830296754836645e+00,0.000000000000000000e+00
1.450279043912887644e+00,0.000000000000000000e+00
1.462727791070937977e+00,0.000000000000000000e+00
1.475176538228988532e+00,0.000000000000000000e+00
1.487625285387039309e+00,0.000000000000000000e+00
1.500074032545089420e+00,0.000000000000000000e+00
1.512522779703140419e+00,0.000000000000000000e+00
1.524971526861190751e+00,0.000000000000000000e+00
1.537420274019241084e+00,0.000000000000000000e+00
1.549869021177292083e+00,0.000000000000000000e+00
1.562317768335342194e+00,0.000000000000000000e+00
1.574766515493392971e+00,0.000000000000000000e+00
1.587215262651443526e+00,0.000000000000000000e+00
1.599664009809493859e+00,0.000000000000000000e+00
1.612112756967544414e+00,0.000000000000000000e+00
1.624561504125594968e+00,0.000000000000000000e+00
1.637010251283645523e+00,0.000000000000000000e+00
1.649458998441696300e+00,0.000000000000000000e+00
1.661907745599746633e+00,0.000000000000000000e+00
1.674356492757796966e+00,0.000000000000000000e+00
1.686805239915847743e+00,0.000000000000000000e+00
1.699253987073898298e+00,0.000000000000000000e+00
1.711702734231948853e+00,0.000000000000000000e+00
1.724151481389999407e+00,0.000000000000000000e+00
1.736600228548049740e+00,0.000000000000000000e+00
1.749048975706100517e+00,0.000000000000000000e+00
1.761497722864151072e+00,0.000000000000000000e+00
1.773946470022201183e+00,0.000000000000000000e+00
1.786395217180252182e+00,0.000000000000000000e+00
1.798843964338302515e+00,0.000000000000000000e+00
1.811292711496352847e+00,0.000000000000000000e+00
1.823741458654403846e+00,0.000000000000000000e+00
1.836190205812453957e+00,0.000000000000000000e+00
1.848638952970504734e+00,0.000000000000000000e+00
1.861087700128555289e+00,0.000000000000000000e+00
1.873536447286605622e+00,0.000000000000000000e+00
1.885985194444656621e+00,0.000000000000000000e+00
1.898433941602706732e+00,0.000000000000000000e+00
1.910882688760757286e+00,0.000000000000000000e+00
1.923331435918808063e+00,0.000000000000000000e+00
1.935780183076858396e+00,0.000000000000000000e+00
1.948228930234908951e+00,0.000000000000000000e+00
1.960677677392959506e+00,0.000000000000000000e+00
1.973126424551010061e+00,0.000000000000000000e+00
1.985575171709060838e+00,0.000000000000000000e+00
1.998023918867111171e+00,0.000000000000000000e+00
2.010472666025161281e+00,0.000000000000000000e+00
2.022921413183212280e+00,0.000000000000000000e+00
2.035370160341262835e+00,0.000000000000000000e+00
2.047818907499312946e+00,0.000000000000000000e+00
2.060267654657363945e+00,0.000000000000000000e+00
2.072716401815414500e+00,0.000000000000000000e+00
2.085165148973465055e+00,0.000000000000000000e+00
2.097613896131515610e+00,0.000000000000000000e+00
2.110062643289565720e+00,0.000000000000000000e+00
2.122511390447616719e+00,0.000000000000000000e+00
2.134960137605666830e+00,0.000000000000000000e+00
2.147408884763717385e+00,0.000000000000000000e+00
2.159857631921768384e+00,0.000000000000000000e+00
2.172306379079818495e+00,0.000000000000000000e+00
2.184755126237869050e+00,0.000000000000000000e+00
2.197203873395920048e+00,0.000000000000000000e+00
2.209652620553970159e+00,0.000000000000000000e+00
2.222101367712020714e+00,0.000000000000000000e+00
2.234550114870071269e+00,1.187680177481997048e-04
2.246998862028121824e+00,4.698227095511096018e-05
2.259447609186172379e+00,1.393979624623893079e-04
2.271896356344222934e+00,2.183012959573456084e-04
2.284345103502273489e+00,5.682328401931768629e-04
2.296793850660324043e+00,8.206511702194328826e-04
2.309242597818374598e+00,1.234421952083212268e-03
2.321691344976425153e+00,1.397251373946534940e-03
2.334140092134475708e+00,2.459996010357808245e-03
2.346588839292525819e+00,4.081737012100488358e-03
2.359037586450576818e+00,6.852058682058331102e-03
2.371486333608627373e+00,1.205271286251432400e-02
2.383935080766677483e+00,2.003513265952795025e-02
2.396383827924728482e+00,2.613721064790290941e-02
2.408832575082779037e+00,4.183197569867173893e-02
2.421281322240829148e+00,6.180599172740026265e-02
2.433730069398880147e+00,8.000851273772070782e-02
2.446178816556930258e+00,1.115942662479794123e-01
2.458627563714980813e+00,1.507983299919365416e-01
2.471076310873031368e+00,2.021547785600487646e-01
2.483525058031081922e+00,2.623317574051611256e-01
2.495973805189132921e+00,3.333905051682118370e-01
2.508422552347183032e+00,4.121431545092457682e-01
2.520871299505234031e+00,5.024673527504533999e-01
2.533320046663284586e+00,6.086408899572399722e-01
2.545768793821334697e+00,7.236260613143539189e-01
2.558217540979384808e+00,8.614412822037064155e-01
2.570666288137435807e+00,9.965505144750408384e-01
2.583115035295486361e+00,1.167772147073516953e+00
2.595563782453536916e+00,1.333311860859198505e+00
2.608012529611587471e+00,1.508514313627838721e+00
2.620461276769638026e+00,1.667933601819647782e+00
2.632910023927688137e+00,1.845219615000892599e+00
2.645358771085739136e+00,2.033653072931866035e+00
2.657807518243790135e+00,2.228792825453990822e+00
2.670256265401840245e+00,2.399986406150239837e+00
2.682705012559890356e+00,2.581411110348216909e+00
2.695153759717940911e+00,2.738635834592445306e+00
2.707602506875991910e+00,2.917967643756668394e+00
2.720051254034042021e+00,3.033801702308637438e+00
2.732500001192093020e+00,3.168496034259014493e+00
2.744948748350143575e+00,3.270002910847837452e+00
2.757397495508193686e+00,3.365121420382457984e+00
2.769846242666244684e+00,3.451560794207167326e+00
2.782294989824294795e+00,3.535333642416872202e+00
2.794743736982345794e+00,3.596402909845372697e+00
2.807192484140395905e+00,3.641366811994190655e+00
2.819641231298446460e+00,3.653525025701606754e+00
2.832089978456497015e+00,3.671170306490547652e+00
2.844538725614547570e+00,3.698012650141361046e+00
2.856987472772598124e+00,3.688524475597475760e+00
2.869436219930649123e+00,3.650690500952531892e+00
2.881884967088699234e+00,3.620718725812672734e+00
2.894333714246749345e+00,3.569088927316067306e+00
2.906782461404800344e+00,3.486119488158882618e+00
2.919231208562850899e+00,3.424731710670220419e+00
2.931679955720901454e+00,3.369130059194886062e+00
2.944128702878952009e+00,3.277611061879503573e+00
2.956577450037002563e+00,3.192768522223479177e+00
2.969026197195052674e+00,3.121030683556186958e+00
2.981474944353103673e+00,3.029215421192480662e+00
2.993923691511153784e+00,2.939338803896827113e+00
3.006372438669204783e+00,2.836815650762646968e+00
3.018821185827254894e+00,2.731819546966894663e+00
3.031269932985305449e+00,2.637568536699752109e+00
3.043718680143356448e+00,2.545712313593444520e+00
3.056167427301406558e+00,2.437147597837126867e+00
3.068616174459457557e+00,2.333739946394917997e+00
3.081064921617508112e+00,2.242034635927931951e+00
3.093513668775558223e+00,2.140931869839452162e+00
3.105962415933608334e+00,2.049956405419963712e+00
3.118411163091659333e+00,1.958362240872209892e+00
3.130859910249710332e+00,1.865059542960914474e+00
3.143308657407760442e+00,1.773692732374470227e+00
3.155757404565810997e+00,1.686833028783043975e+00
3.168206151723861552e+00,1.597978384417924502e+00
3.180654898881912107e+00,1.514382097390790438e+00
3.193103646039962662e+00,1.428816051396260001e+00
3.205552393198013661e+00,1.360171180235537847e+00
3.218001140356063772e+00,1.279618426497027839e+00
3.230449887514113883e+00,1.208396478031495747e+00
3.242898634672164437e+00,1.141690772338927129e+00
3.255347381830215436e+00,1.082342087218407745e+00
3.267796128988265991e+00,1.008668399199726506e+00
3.280244876146316546e+00,9.508836165687032382e-01
3.292693623304367101e+00,8.937398319800308188e-01
3.305142370462417212e+00,8.378029531008475139e-01
3.317591117620468211e+00,7.891769410534604789e-01
3.330039864778518321e+00,7.509917555091152330e-01
3.342488611936569320e+00,7.045463178262696413e-01
3.354937359094619431e+00,6.700171601753629469e-01
3.367386106252669986e+00,6.303248614976791897e-01
3.379834853410720985e+00,5.861052705223802617e-01
3.392283600568771096e+00,5.581263328129911772e-01
3.404732347726822095e+00,5.223804574760727570e-01
3.417181094884872650e+00,4.966214595362745676e-01
3.429629842042922760e+00,4.709195056949694869e-01
3.442078589200972871e+00,4.325116118233678919e-01
3.454527336359023870e+00,4.042698251209839166e-01
3.466976083517074425e+00,3.816417101416839652e-01
3.479424830675124980e+00,3.631865414147218973e-01
3.491873577833175535e+00,3.477858465868294835e-01
3.504322324991226090e+00,3.297210791864926827e-01
3.516771072149276645e+00,3.177001300013680973e-01
3.529219819307327199e+00,3.069877508847668190e-01
3.541668566465378198e+00,2.963422243495631991e-01
3.554117313623428309e+00,2.918661732384575935e-01
3.566566060781478420e+00,2.817016010784637592e-01
3.579014807939528975e+00,2.723239293298262420e-01
3.591463555097579974e+00,2.730370237929618527e-01
3.603912302255630085e+00,2.689395274047306494e-01
3.616361049413681084e+00,2.650007128171708581e-01
3.628809796571731638e+00,2.667749511531767315e-01
3.641258543729781749e+00,2.706522883886620656e-01
3.653707290887832748e+00,2.744218132580937275e-01
3.666156038045882859e+00,2.819946894995506437e-01
3.678604785203933858e+00,2.816100275334538772e-01
3.691053532361983969e+00,2.847717528141237020e-01
3.703502279520034524e+00,2.907556097655013549e-01
3.715951026678085078e+00,2.958155421934996476e-01
3.728399773836135633e+00,3.032118974770024455e-01
3.740848520994186632e+00,3.162964798320846427e-01
3.753297268152237187e+00,3.270120250089912362e-01
3.765746015310287298e+00,3.374913773946216500e-01
3.778194762468337409e+00,3.529980127909726484e-01
3.790643509626388408e+00,3.643277730228789979e-01
3.803092256784438963e+00,3.782408120450138633e-01
