r_A,g_r
6.036736965179443325e-03,0.000000000000000000e+00
1.811021089553832911e-02,0.000000000000000000e+00
3.018368482589721749e-02,0.000000000000000000e+00
4.225715875625610241e-02,0.000000000000000000e+00
5.433063268661499079e-02,0.000000000000000000e+00
6.640410661697387917e-02,0.000000000000000000e+00
7.847758054733276756e-02,0.000000000000000000e+00
9.055105447769164206e-02,0.000000000000000000e+00
1.026245284080505443e-01,0.000000000000000000e+00
1.146980023384094188e-01,0.000000000000000000e+00
1.267714762687683072e-01,0.000000000000000000e+00
1.388449501991271817e-01,0.000000000000000000e+00
1.509184241294860840e-01,0.000000000000000000e+00
1.629918980598449585e-01,0.000000000000000000e+00
1.750653719902038608e-01,0.000000000000000000e+00
1.871388459205627353e-01,0.000000000000000000e+00
1.992123198509216375e-01,0.000000000000000000e+00
2.112857937812805120e-01,0.000000000000000000e+00
2.233592677116394143e-01,0.000000000000000000e+00
2.354327416419982888e-01,0.000000000000000000e+00
2.475062155723571633e-01,0.000000000000000000e+00
2.595796895027160378e-01,0.000000000000000000e+00
2.716531634330749401e-01,0.000000000000000000e+00
2.837266373634338423e-01,0.000000000000000000e+00
2.958001112937927446e-01,0.000000000000000000e+00
3.078735852241515913e-01,0.000000000000000000e+00
3.199470591545104936e-01,0.000000000000000000e+00
3.320205330848693959e-01,0.000000000000000000e+00
3.440940070152282426e-01,0.000000000000000000e+00
3.561674809455871449e-01,0.000000000000000000e+00
3.682409548759460471e-01,0.000000000000000000e+00
3.803144288063049494e-01,0.000000000000000000e+00
3.923879027366637962e-01,0.000000000000000000e+00
4.044613766670226984e-01,0.000000000000000000e+00
4.165348505973816007e-01,0.000000000000000000e+00
4.286083245277405029e-01,0.000000000000000000e+00
4.406817984580993497e-01,0.000000000000000000e+00
4.527552723884582520e-01,0.000000000000000000e+00
4.648287463188171542e-01,0.000000000000000000e+00
4.769022202491760010e-01,0.000000000000000000e+00
4.889756941795349032e-01,0.000000000000000000e+00
5.010491681098937500e-01,0.000000000000000000e+00
5.131226420402525967e-01,0.000000000000000000e+00
5.251961159706115545e-01,0.000000000000000000e+00
5.372695899009704013e-01,0.000000000000000000e+00
5.493430638313292480e-01,0.000000000000000000e+00
5.614165377616882058e-01,0.000000000000000000e+00
5.734900116920471635e-01,0.000000000000000000e+00
5.855634856224058993e-01,0.000000000000000000e+00
5.976369595527648571e-01,0.000000000000000000e+00
6.097104334831238148e-01,0.000000000000000000e+00
6.217839074134826616e-01,0.000000000000000000e+00
6.338573813438415083e-01,0.000000000000000000e+00
6.459308552742004661e-01,0.000000000000000000e+00
6.580043292045592018e-01,0.000000000000000000e+00
